,Model,Accuracy,Precision,Recall,F1,ROC_AUC,MCC,Specificity,CV,Repeat,target,target_id,feature,turner
154,LogisticRegression,0.6,0.5,1.0,0.6666666666666666,0.33333333333333337,0.4082482904638631,0.3333333333333333,Fold5,6,Project,ProjectA,False,True
155,LogisticRegression,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.5,Fold6,6,Project,ProjectA,False,True
156,LogisticRegression,0.6,1.0,0.3333333333333333,0.5,0.8333333333333333,0.4082482904638631,1.0,Fold7,6,Project,ProjectA,False,True
157,LogisticRegression,0.8,0.75,1.0,0.8571428571428571,1.0,0.6123724356957946,0.5,Fold8,6,Project,ProjectA,False,True
158,LogisticRegression,0.4,0.5,0.3333333333333333,0.4,0.3333333333333333,-0.16666666666666666,0.5,Fold9,6,Project,ProjectA,False,True
159,LogisticRegression,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold10,6,Project,ProjectA,False,True
160,LogisticRegression,0.8,1.0,0.5,0.6666666666666666,0.5,0.6123724356957946,1.0,Fold1,7,Project,ProjectA,False,True
161,LogisticRegression,0.4,0.0,0.0,0.0,0.33333333333333337,-0.4082482904638631,0.6666666666666666,Fold2,7,Project,ProjectA,False,True
162,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,0.6666666666666667,0.6666666666666666,0.6666666666666666,Fold3,7,Project,ProjectA,False,True
163,LogisticRegression,0.8,1.0,0.5,0.6666666666666666,1.0,0.6123724356957946,1.0,Fold4,7,Project,ProjectA,False,True
164,LogisticRegression,0.6,0.5,0.5,0.5,0.6666666666666667,0.16666666666666666,0.6666666666666666,Fold5,7,Project,ProjectA,False,True
165,LogisticRegression,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,Fold6,7,Project,ProjectA,False,True
166,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold7,7,Project,ProjectA,False,True
167,LogisticRegression,0.8,0.75,1.0,0.8571428571428571,0.5,0.6123724356957946,0.5,Fold8,7,Project,ProjectA,False,True
168,LogisticRegression,0.8,0.75,1.0,0.8571428571428571,0.8333333333333333,0.6123724356957946,0.5,Fold9,7,Project,ProjectA,False,True
169,LogisticRegression,0.8,0.75,1.0,0.8571428571428571,0.5,0.6123724356957946,0.5,Fold10,7,Project,ProjectA,False,True
170,LogisticRegression,0.6,0.5,0.5,0.5,0.6666666666666667,0.16666666666666666,0.6666666666666666,Fold1,8,Project,ProjectA,False,True
171,LogisticRegression,0.6,0.5,0.5,0.5,0.5,0.16666666666666666,0.6666666666666666,Fold2,8,Project,ProjectA,False,True
172,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,Fold3,8,Project,ProjectA,False,True
173,LogisticRegression,0.8,1.0,0.5,0.6666666666666666,0.8333333333333334,0.6123724356957946,1.0,Fold4,8,Project,ProjectA,False,True
174,LogisticRegression,0.6,0.5,0.5,0.5,0.8333333333333334,0.16666666666666666,0.6666666666666666,Fold5,8,Project,ProjectA,False,True
175,LogisticRegression,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.16666666666666666,0.5,Fold6,8,Project,ProjectA,False,True
176,LogisticRegression,0.8,0.75,1.0,0.8571428571428571,0.8333333333333333,0.6123724356957946,0.5,Fold7,8,Project,ProjectA,False,True
177,LogisticRegression,0.6,0.6,1.0,0.75,0.0,0.0,0.0,Fold8,8,Project,ProjectA,False,True
